rowid,occurred_on,tipo,amount_cents,descricao,categoria
43,2024-08-30,despesa,78500,To Michael Quinn,Moradia
44,2024-09-02,receita,133643,Payment from DR JOHN CLARKE,Salário
45,2024-09-02,despesa,133753,To Joana Palminha,Transferências internas
46,2024-09-16,receita,133644,Payment from DR JOHN CLARKE,Salário
47,2024-09-16,despesa,55100,To Joana Palminha,Transferências internas
48,2024-09-29,despesa,3800,Brown Thomas,Compras e Roupa
49,2024-09-30,receita,133643,Payment from DR JOHN CLARKE,Salário
50,2024-09-30,despesa,129800,To Joana Palminha,Transferências internas
51,2024-10-01,despesa,78500,To Michael Quinn,Moradia
52,2024-10-14,receita,138081,Payment from DR JOHN CLARKE,Salário
53,2024-10-14,despesa,138100,To Joana Palminha,Transferências internas
54,2024-10-14,receita,500,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
55,2024-10-15,despesa,500,To Joana Palminha irl,Transferências internas
56,2024-10-28,receita,138080,Payment from DR JOHN CLARKE,Salário
57,2024-10-28,despesa,59648,To Joana Palminha,Transferências internas
58,2024-10-29,despesa,78500,To Michael Quinn,Moradia
59,2024-11-11,receita,138081,Payment from DR JOHN CLARKE,Salário
60,2024-11-12,despesa,138081,To Joana Palminha,Transferências internas
61,2024-11-25,receita,138080,Payment from DR JOHN CLARKE,Salário
62,2024-11-25,despesa,59080,To Joana Palminha,Transferências internas
63,2024-11-26,despesa,500,To Joana Palminha irl,Transferências internas
64,2024-11-26,despesa,78500,To Michael Quinn,Moradia
65,2024-12-09,receita,138081,Payment from DR JOHN CLARKE,Salário
66,2024-12-10,despesa,136481,To Joana Palminha,Transferências internas
67,2024-12-10,despesa,1600,To Joana Palminha irl,Transferências internas
68,2024-12-23,receita,138080,Payment from DR JOHN CLARKE,Salário
69,2024-12-24,despesa,59000,To Joana Palminha,Transferências internas
70,2024-12-30,despesa,500,To Joana Palminha irl,Transferências internas
71,2024-12-30,despesa,78500,To Michael Quinn,Moradia
72,2025-01-02,receita,250000,Personal loan,Outras receitas
73,2025-01-02,despesa,4400,Personal loan - tax,Empréstimos e Dívidas
74,2025-01-02,despesa,245600,To Sonia Maria Ferreira Costa,Outras despesas
75,2025-01-06,receita,139384,Payment from DR JOHN CLARKE,Salário
76,2025-01-07,despesa,139400,To Joana Palminha,Transferências internas
77,2025-01-20,receita,139384,Payment from DR JOHN CLARKE,Salário
78,2025-01-21,despesa,10000,To Sonia Maria Ferreira Costa,Outras despesas
79,2025-01-21,despesa,35800,To Joana Palminha,Transferências internas
80,2025-01-28,despesa,78500,To Michael Quinn,Moradia
81,2025-02-02,despesa,15071,repayment,Empréstimos e Dívidas
82,2025-02-03,receita,139384,Payment from DR JOHN CLARKE,Salário
83,2025-02-03,despesa,139400,To Joana Palminha,Transferências internas
84,2025-02-17,receita,139385,Payment from DR JOHN CLARKE,Salário
85,2025-02-19,despesa,35800,To Joana Palminha,Transferências internas
86,2025-02-19,despesa,10000,To Sonia Maria Ferreira Costa,Outras despesas
87,2025-02-28,despesa,78500,To Michael Quinn,Moradia
88,2025-03-02,despesa,15071,repayment,Empréstimos e Dívidas
89,2025-03-03,receita,158614,Payment from DR JOHN CLARKE,Salário
90,2025-03-03,despesa,158600,To Joana Palminha,Transferências internas
91,2025-03-17,receita,143230,Payment from DR JOHN CLARKE,Salário
92,2025-03-17,despesa,49700,To Joana Palminha,Transferências internas
93,2025-03-31,despesa,78500,To Michael Quinn,Moradia
94,2025-03-31,receita,143230,Payment from DR JOHN CLARKE,Salário
95,2025-03-31,despesa,143200,To Joana Palminha,Transferências internas
96,2025-04-02,despesa,15071,repayment,Empréstimos e Dívidas
97,2025-04-14,receita,143230,Payment from DR JOHN CLARKE,Salário
98,2025-04-14,despesa,133300,To Joana Palminha,Transferências internas
99,2025-04-18,despesa,10000,Savings Vault topup,Transferências internas
100,2025-04-25,receita,1,Interest earned - Flexible Cash Funds,Rendimentos
101,2025-04-27,receita,1,Interest earned - Flexible Cash Funds,Rendimentos
102,2025-04-28,receita,143230,Payment from DR JOHN CLARKE,Salário
103,2025-04-28,despesa,49500,To Joana Palminha,Transferências internas
104,2025-04-29,despesa,78500,To Michael Quinn,Moradia
105,2025-04-30,receita,1,Interest earned - Flexible Cash Funds,Rendimentos
106,2025-05-02,despesa,15071,repayment,Empréstimos e Dívidas
107,2025-05-02,receita,1,Interest earned - Flexible Cash Funds,Rendimentos
108,2025-05-04,receita,1,Interest earned - Flexible Cash Funds,Rendimentos
109,2025-05-07,receita,3000,From Flexible Cash Funds,Transferências internas
110,2025-05-07,despesa,2500,To investment account,Transferências internas
111,2025-05-07,receita,7000,From Flexible Cash Funds,Transferências internas
112,2025-05-07,despesa,2000,To investment account,Transferências internas
113,2025-05-07,receita,2000,Top Up,Transferências internas
114,2025-05-07,despesa,2000,To investment account,Transferências internas
115,2025-05-07,despesa,5000,To investment account,Transferências internas
116,2025-05-07,despesa,600,To investment account,Transferências internas
117,2025-05-07,receita,2452,Amundi PEA S&amp;P 500 UCITS ETF EUR Hedged Acc LYY1,Investimentos
118,2025-05-07,despesa,2500,LYY1,Investimentos
119,2025-05-07,despesa,2000,LYY1,Investimentos
120,2025-05-07,receita,1,Interest earned - Flexible Cash Funds,Rendimentos
121,2025-05-12,receita,143231,Payment from DR JOHN CLARKE,Salário
122,2025-05-12,despesa,20000,To investment account,Transferências internas
123,2025-05-12,despesa,123200,To Joana Palminha,Transferências internas
124,2025-05-18,receita,1000,Top Up,Transferências internas
125,2025-05-18,receita,1000,Top Up,Transferências internas
126,2025-05-18,despesa,600,To investment account,Transferências internas
127,2025-05-19,despesa,320,Vista,Lazer
128,2025-05-19,receita,200000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
129,2025-05-19,despesa,200000,Savings Vault topup,Transferências internas
130,2025-05-20,receita,10000,From Flexible Cash Funds,Transferências internas
131,2025-05-20,receita,320000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
132,2025-05-20,despesa,322078,Savings Vault topup,Transferências internas
133,2025-05-21,receita,10000,From Flexible Cash Funds,Transferências internas
134,2025-05-21,despesa,8000,Newroadclinic,Saúde
135,2025-05-21,receita,8,Interest earned - Flexible Cash Funds,Rendimentos
136,2025-05-22,despesa,100,BDS Vending,Alimentação
137,2025-05-22,receita,30000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
138,2025-05-22,despesa,35000,Savings Vault topup,Transferências internas
139,2025-05-22,receita,20,Interest earned - Flexible Cash Funds,Rendimentos
140,2025-05-23,receita,20,Interest earned - Flexible Cash Funds,Rendimentos
141,2025-05-24,despesa,739,SPAR Food & Fuel,Supermercado
142,2025-05-24,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
143,2025-05-25,despesa,835,Tesco,Supermercado
144,2025-05-25,despesa,1480,KC & Son & Sons,Alimentação
145,2025-05-25,receita,2000,Top Up,Transferências internas
146,2025-05-25,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
147,2025-05-26,despesa,1850,SPAR Food & Fuel,Supermercado
148,2025-05-26,despesa,360,Daybreak,Supermercado
149,2025-05-26,despesa,250,Daybreak,Supermercado
150,2025-05-26,despesa,575,Centra,Supermercado
151,2025-05-26,receita,143230,Payment from DR JOHN CLARKE,Salário
152,2025-05-26,despesa,40000,To Sonia Maria Ferreira Costa,Outras despesas
153,2025-05-26,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
154,2025-05-27,despesa,78500,To Michael Quinn,Moradia
155,2025-05-27,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
156,2025-05-28,despesa,4428,Tesco,Supermercado
157,2025-05-28,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
158,2025-05-29,despesa,2455,Gala,Alimentação
159,2025-05-29,despesa,6000,To Sonia Maria Ferreira Costa,Outras despesas
160,2025-05-29,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
161,2025-05-30,receita,20000,Top Up,Transferências internas
162,2025-05-30,receita,4000,Top Up,Transferências internas
163,2025-05-30,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
164,2025-05-31,despesa,10000,HSE,Saúde
165,2025-05-31,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
166,2025-06-01,despesa,150,Dealz,Compras e Roupa
167,2025-06-01,despesa,79,Lidl,Supermercado
168,2025-06-01,despesa,600,Old Oak,Lazer
169,2025-06-01,despesa,1770,McDonald's,Alimentação fora
170,2025-06-01,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
171,2025-06-02,despesa,15071,repayment,Empréstimos e Dívidas
172,2025-06-02,despesa,600,Old Oak,Lazer
173,2025-06-02,despesa,720,Daybreak,Supermercado
174,2025-06-02,despesa,700,The Old Town Whiskey Bar at Bodega,Lazer
175,2025-06-02,despesa,200,Centra,Supermercado
176,2025-06-02,despesa,1540,McDonald's,Alimentação fora
177,2025-06-02,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
178,2025-06-03,despesa,784,SPAR Food & Fuel,Supermercado
179,2025-06-03,receita,15000,From Flexible Cash Funds,Transferências internas
180,2025-06-03,despesa,2000,To Joana Palminha,Transferências internas
181,2025-06-03,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
182,2025-06-04,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
183,2025-06-05,despesa,3825,Dealz,Compras e Roupa
184,2025-06-05,despesa,1640,24/7 Shop,Supermercado
185,2025-06-05,despesa,165,An Post,Outras despesas
186,2025-06-05,despesa,500,Transport for Ireland - TFI,Transporte
187,2025-06-05,despesa,1150,Euro Giant,Supermercado
188,2025-06-05,receita,20,Interest earned - Flexible Cash Funds,Rendimentos
189,2025-06-06,despesa,5141,Tesco,Supermercado
190,2025-06-06,receita,10000,From Flexible Cash Funds,Transferências internas
191,2025-06-06,receita,20,Interest earned - Flexible Cash Funds,Rendimentos
192,2025-06-07,despesa,2190,Tesco,Supermercado
193,2025-06-07,despesa,1460,Fine Wines,Lazer
194,2025-06-07,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
195,2025-06-08,despesa,650,Hunters Sports Bar,Lazer
196,2025-06-08,despesa,1000,Hunters Sports Bar,Lazer
197,2025-06-08,despesa,500,Hunters Sports Bar,Lazer
198,2025-06-08,despesa,300,Flying Tiger Copenhagen,Compras e Roupa
199,2025-06-08,despesa,50,Vincents Limerick Furn,Compras e Roupa
200,2025-06-08,receita,70000,From Flexible Cash Funds,Transferências internas
201,2025-06-08,despesa,70000,To Joana Palminha,Transferências internas
202,2025-06-08,despesa,40000,To Flexible Cash Funds,Transferências internas
203,2025-06-08,receita,5000,From Flexible Cash Funds,Transferências internas
204,2025-06-08,receita,5000,From Flexible Cash Funds,Transferências internas
205,2025-06-08,receita,20,Interest earned - Flexible Cash Funds,Rendimentos
206,2025-06-09,despesa,630,Mace,Compras e Roupa
207,2025-06-09,despesa,3898,Dunnes Stores,Supermercado
208,2025-06-09,despesa,3490,Lidl,Supermercado
209,2025-06-09,despesa,650,Hunters Sports Bar,Lazer
210,2025-06-09,despesa,200,To Go,Outras despesas
211,2025-06-09,despesa,999,Link Brazil,Supermercado
212,2025-06-09,despesa,1010,Centra,Supermercado
213,2025-06-09,receita,22500,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
214,2025-06-09,despesa,28500,To Flexible Cash Funds,Transferências internas
215,2025-06-09,receita,143230,Payment from DR JOHN CLARKE,Salário
216,2025-06-09,receita,143230,Payment from DR JOHN CLARKE,Salário
217,2025-06-09,despesa,100000,To Flexible Cash Funds,Transferências internas
218,2025-06-09,despesa,10000,To Sonia Maria Ferreira Costa,Outras despesas
219,2025-06-09,receita,20,Interest earned - Flexible Cash Funds,Rendimentos
220,2025-06-10,despesa,300,Radisson Blu,Alimentação
221,2025-06-10,receita,1800,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
222,2025-06-10,despesa,10000,To Flexible Cash Funds,Transferências internas
223,2025-06-10,receita,18,Interest earned - Flexible Cash Funds,Rendimentos
224,2025-06-11,receita,2200,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
225,2025-06-11,despesa,500,Transport for Ireland - TFI,Transporte
226,2025-06-11,despesa,500,Transport for Ireland - TFI,Transporte
227,2025-06-11,receita,24,Interest earned - Flexible Cash Funds,Rendimentos
228,2025-06-12,despesa,1640,24/7 Shop,Supermercado
229,2025-06-12,receita,6140,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
230,2025-06-12,despesa,6140,To Flexible Cash Funds,Transferências internas
231,2025-06-12,despesa,143230,To Dr John Clarke,Outras despesas
232,2025-06-12,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
233,2025-06-13,despesa,1700,Irish Citylink,Transporte
234,2025-06-13,despesa,1534,O'Sullivans Pharmacy,Saúde
235,2025-06-13,despesa,3880,Lookfantastic,Compras e Roupa
236,2025-06-13,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
237,2025-06-14,despesa,2270,KC & Son & Sons,Lazer
238,2025-06-14,despesa,145,ALDI,Supermercado
239,2025-06-14,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
240,2025-06-15,despesa,150,Dealz,Compras e Roupa
241,2025-06-15,despesa,500,Dealz,Compras e Roupa
242,2025-06-15,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
243,2025-06-16,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
244,2025-06-17,despesa,2500,Three,Assinaturas e Digital
245,2025-06-17,despesa,2989,Tesco,Supermercado
246,2025-06-17,despesa,2460,Penneys,Compras e Roupa
247,2025-06-17,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
248,2025-06-18,despesa,1640,24/7 Shop,Supermercado
249,2025-06-18,despesa,165,An Post,Outras despesas
250,2025-06-18,receita,6000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
251,2025-06-18,despesa,5000,To Flexible Cash Funds,Transferências internas
252,2025-06-18,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
253,2025-06-19,despesa,1700,Irish Citylink,Transporte
254,2025-06-19,despesa,1025,Temu,Compras e Roupa
255,2025-06-19,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
256,2025-06-20,receita,1500,From Flexible Cash Funds,Transferências internas
257,2025-06-20,despesa,1667,Transfer to ANA PATRICIA FERREIRA COSTA,Moradia
258,2025-06-20,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
259,2025-06-21,despesa,314,SPAR Food & Fuel,Supermercado
260,2025-06-21,receita,2000,From Flexible Cash Funds,Transferências internas
261,2025-06-21,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
262,2025-06-22,despesa,200,Dealz,Compras e Roupa
263,2025-06-22,despesa,500,Transport for Ireland - TFI,Transporte
264,2025-06-22,despesa,500,Transport for Ireland - TFI,Transporte
265,2025-06-22,despesa,404,Spar,Supermercado
266,2025-06-22,receita,1500,From Flexible Cash Funds,Transferências internas
267,2025-06-22,receita,2500,From Flexible Cash Funds,Transferências internas
268,2025-06-22,despesa,2900,To Flexible Cash Funds,Transferências internas
269,2025-06-22,receita,10100,From Flexible Cash Funds,Transferências internas
270,2025-06-22,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
271,2025-06-23,despesa,10099,Sports Direct,Compras e Roupa
272,2025-06-23,despesa,360,Daybreak,Supermercado
273,2025-06-23,despesa,1640,Your Stop Suncroft,Compras e Roupa
274,2025-06-23,receita,4000,From Flexible Cash Funds,Transferências internas
275,2025-06-23,receita,143230,Payment from DR JOHN CLARKE,Salário
276,2025-06-23,despesa,15000,To Joana Palminha,Transferências internas
277,2025-06-23,despesa,50000,To Flexible Cash Funds,Transferências internas
278,2025-06-23,receita,20000,From Flexible Cash Funds,Transferências internas
279,2025-06-23,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
280,2025-06-24,despesa,2000,To Sonia Maria Ferreira Costa,Outras despesas
281,2025-06-24,despesa,3500,Frasers,Compras e Roupa
282,2025-06-24,despesa,2400,Irish Citylink,Transporte
283,2025-06-24,despesa,1000,Pagamento (Gabriel Garcia de Araujo) — 50% de Facebook,Assinaturas e Digital
284,2025-06-24,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
285,2025-06-25,despesa,1200,Dealz,Compras e Roupa
286,2025-06-25,despesa,1779,Tesco,Supermercado
287,2025-06-25,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
288,2025-06-26,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
289,2025-06-27,despesa,78500,To Michael Quinn,Moradia
290,2025-06-27,despesa,1640,24/7 Shop,Supermercado
291,2025-06-27,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
292,2025-06-28,despesa,520,Sos Cookies Dublin,Alimentação
293,2025-06-28,despesa,620,Tesco,Supermercado
294,2025-06-28,despesa,970,To Sonia Maria Ferreira Costa,Outras despesas
295,2025-06-28,despesa,3000,To Sonia Maria Ferreira Costa,Outras despesas
296,2025-06-28,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
297,2025-06-29,receita,15100,From Flexible Cash Funds,Transferências internas
298,2025-06-29,despesa,675,Ryanair,Viagem
299,2025-06-29,despesa,2000,Helter Skelter,Compras e Roupa
300,2025-06-29,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
301,2025-06-30,despesa,867,Continente,Supermercado
302,2025-06-30,despesa,3200,Wells,Compras e Roupa
303,2025-06-30,despesa,1500,To Sonia Maria Ferreira Costa,Outras despesas
304,2025-06-30,despesa,1000,To Joana Palminha,Transferências internas
305,2025-06-30,receita,10000,From Flexible Cash Funds,Transferências internas
306,2025-06-30,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
307,2025-07-01,receita,2788,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
308,2025-07-01,despesa,950,A Pastorinha,Lazer
309,2025-07-01,receita,5500,From Flexible Cash Funds,Transferências internas
310,2025-07-01,receita,20,Interest earned - Flexible Cash Funds,Rendimentos
311,2025-07-02,despesa,15071,repayment,Empréstimos e Dívidas
312,2025-07-02,receita,1500,From Flexible Cash Funds,Transferências internas
313,2025-07-02,receita,5500,From Flexible Cash Funds,Transferências internas
314,2025-07-02,despesa,2943,Wok Nagasaki,Alimentação fora
315,2025-07-02,despesa,2944,Wok Nagasaki,Alimentação fora
316,2025-07-02,despesa,760,Taxi Gerard Ho,Viagem
317,2025-07-02,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
318,2025-07-03,despesa,1220,McDonald's,Alimentação fora
319,2025-07-03,despesa,500,Transport for Ireland - TFI,Transporte
320,2025-07-03,despesa,350,Ryanair,Viagem
321,2025-07-03,despesa,5515,Lisbon Duty Free,Viagem
322,2025-07-03,receita,5000,From Flexible Cash Funds,Transferências internas
323,2025-07-03,receita,21,Interest earned - Flexible Cash Funds,Rendimentos
324,2025-07-04,despesa,5598,Ryanair,Viagem
325,2025-07-04,receita,19,Interest earned - Flexible Cash Funds,Rendimentos
326,2025-07-05,despesa,2532,Lidl,Supermercado
327,2025-07-05,receita,20,Interest earned - Flexible Cash Funds,Rendimentos
328,2025-07-06,despesa,1749,Tesco,Supermercado
329,2025-07-06,receita,1400,From Flexible Cash Funds,Transferências internas
330,2025-07-06,receita,300,From Flexible Cash Funds,Transferências internas
331,2025-07-06,despesa,2400,To Joana Palminha,Transferências internas
332,2025-07-06,receita,1600,From Flexible Cash Funds,Transferências internas
333,2025-07-06,despesa,1600,To Joana Palminha,Transferências internas
334,2025-07-06,receita,1000,From Flexible Cash Funds,Transferências internas
335,2025-07-06,receita,19,Interest earned - Flexible Cash Funds,Rendimentos
336,2025-07-07,receita,1400,From Flexible Cash Funds,Transferências internas
337,2025-07-07,despesa,1400,To Joana Palminha,Transferências internas
338,2025-07-07,despesa,749,Guineys,Compras e Roupa
339,2025-07-07,receita,143230,Payment from DR JOHN CLARKE,Salário
340,2025-07-07,despesa,5000,To Sonia Maria Ferreira Costa,Outras despesas
341,2025-07-07,despesa,2500,To Joana Palminha,Transferências internas
342,2025-07-07,despesa,120000,To Flexible Cash Funds,Transferências internas
343,2025-07-07,receita,5700,From Flexible Cash Funds,Transferências internas
344,2025-07-07,receita,20,Interest earned - Flexible Cash Funds,Rendimentos
345,2025-07-08,despesa,1900,Sextons Bar,Lazer
346,2025-07-08,receita,19,Interest earned - Flexible Cash Funds,Rendimentos
347,2025-07-09,receita,23,Interest earned - Flexible Cash Funds,Rendimentos
348,2025-07-10,despesa,6844,Ryanair,Viagem
349,2025-07-10,despesa,2000,To Joana Palminha,Transferências internas
350,2025-07-10,despesa,100,To Joana Palminha,Transferências internas
351,2025-07-10,receita,23,Interest earned - Flexible Cash Funds,Rendimentos
352,2025-07-11,despesa,2450,Dickies,Lazer
353,2025-07-11,despesa,1450,O'Sullivans Pharmacy,Saúde
354,2025-07-11,despesa,1700,Irish Citylink,Transporte
355,2025-07-11,despesa,600,Transfer to Ines De Oliveira Alves Vieira Estrela,Moradia
356,2025-07-11,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
357,2025-07-12,despesa,1660,KC & Son & Sons,Lazer
358,2025-07-12,receita,23,Interest earned - Flexible Cash Funds,Rendimentos
359,2025-07-13,despesa,65,Transport for Ireland - TFI,Transporte
360,2025-07-13,despesa,249,ALDI,Supermercado
361,2025-07-13,receita,154,From Flexible Cash Funds,Transferências internas
362,2025-07-13,receita,23,Interest earned - Flexible Cash Funds,Rendimentos
363,2025-07-14,despesa,65,Transport for Ireland - TFI,Transporte
364,2025-07-14,despesa,2500,Three,Assinaturas e Digital
365,2025-07-14,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
366,2025-07-15,receita,10000,From Flexible Cash Funds,Transferências internas
367,2025-07-15,despesa,1000,To Sonia Maria Ferreira Costa,Outras despesas
368,2025-07-15,receita,23,Interest earned - Flexible Cash Funds,Rendimentos
369,2025-07-16,despesa,1050,Dealz,Compras e Roupa
370,2025-07-16,despesa,2068,Tesco,Supermercado
371,2025-07-16,despesa,3905,Boots,Saúde
372,2025-07-16,despesa,615,O'Sullivans Pharmacy,Saúde
373,2025-07-16,despesa,500,Transport for Ireland - TFI,Transporte
374,2025-07-16,receita,23,Interest earned - Flexible Cash Funds,Rendimentos
375,2025-07-17,despesa,500,To Joana Palminha,Transferências internas
376,2025-07-17,receita,5000,From Flexible Cash Funds,Transferências internas
377,2025-07-17,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
378,2025-07-18,despesa,1696,Tesco,Supermercado
379,2025-07-18,despesa,3418,Tesco,Supermercado
380,2025-07-18,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
381,2025-07-19,receita,500,From Flexible Cash Funds,Transferências internas
382,2025-07-19,receita,3000,From Flexible Cash Funds,Transferências internas
383,2025-07-19,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
384,2025-07-20,despesa,2767,Tesco,Supermercado
385,2025-07-20,despesa,1000,bikeshare,Transporte
386,2025-07-20,receita,1600,From Flexible Cash Funds,Transferências internas
387,2025-07-20,despesa,1800,To Flexible Cash Funds,Transferências internas
388,2025-07-20,receita,1000,From Flexible Cash Funds,Transferências internas
389,2025-07-20,despesa,5800,To Flexible Cash Funds,Transferências internas
390,2025-07-20,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
391,2025-07-21,receita,500,From Flexible Cash Funds,Transferências internas
392,2025-07-21,despesa,500,To Flexible Cash Funds,Transferências internas
393,2025-07-21,receita,143230,Payment from DR JOHN CLARKE,Salário
394,2025-07-21,despesa,16000,To Joana Palminha,Transferências internas
395,2025-07-21,despesa,30000,To Flexible Cash Funds,Transferências internas
396,2025-07-21,despesa,10000,To investment account,Transferências internas
397,2025-07-21,receita,16600,From Flexible Cash Funds,Transferências internas
398,2025-07-21,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
399,2025-07-22,receita,10552,Top Up,Transferências internas
400,2025-07-22,despesa,1700,To Joana Palminha irl,Transferências internas
401,2025-07-22,despesa,10000,Transfer to Ines De Oliveira Alves Vieira Estrela,Moradia
402,2025-07-22,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
403,2025-07-23,despesa,330,An Post,Outras despesas
404,2025-07-23,despesa,7350,CeX,Compras e Roupa
405,2025-07-23,receita,5000,Recebimento (Gabriel Garcia de Araujo) — 50% de Transfer to Ines De Oliveira Alves Vieira Estrela,Outras receitas
406,2025-07-23,despesa,5000,To Flexible Cash Funds,Transferências internas
407,2025-07-23,receita,22,Interest earned - Flexible Cash Funds,Rendimentos
408,2025-07-24,despesa,1700,Irish Citylink,Transporte
409,2025-07-24,despesa,500,Euro Giant,Supermercado
410,2025-07-24,despesa,600,The Works,Compras e Roupa
411,2025-07-24,despesa,300,Pagamento (Gabriel Garcia de Araujo) — 50% de Irish Rail,Transporte
412,2025-07-24,receita,23,Interest earned - Flexible Cash Funds,Rendimentos
